URL,Path,Locale,Section,Clicks_119d,Impressions_119d,Avg_Position,Action,Implementation,Destination_URL,Evidence,Reasoning,Priority
https://panamarealestateguide.com/,/,en,home,1,22,10.5,Improve,rewrite in place,,GSC 119d: 1 clicks / 22 impr / avg pos 10.5,Homepage carries almost no topical signal. Rebuild as the buying-in-Panama hub.,P0
https://panamarealestateguide.com/articles/,/articles/,en,articles,0,54,12.3,Improve,rewrite in place,,GSC 119d: 0 clicks / 54 impr / avg pos 12.3,Has measurable impressions but weak position; a rewrite should convert impressions to clicks.,P2
https://panamarealestateguide.com/news/,/news/,en,news,0,12,36.7,Consolidate,301,https://panamarealestateguide.com/articles/panama-real-estate-market-2026.html,GSC 119d: 0 clicks / 12 impr / avg pos 36.7,Dated micro-news with no demand. Roll the durable facts into the market pillar as a timeline; redirect. Avoids a graveyard of stale one-paragraph posts.,P3
https://panamarealestateguide.com/proyectos/,/proyectos/,en,proyectos,0,0,,Keep,no change,,GSC 119d: 0 clicks / 0 impr,Low signal but topically relevant and contributes internal-link/topical-authority value. Do not delete on zero traffic alone.,P3
https://panamarealestateguide.com/videos/,/videos/,en,videos,0,13,36.6,Noindex,"noindex,follow",,GSC 119d: 0 clicks / 13 impr / avg pos 36.6,"Thin YouTube-embed wrapper, no unique text. Noindex rather than remove: these URLs may return as real pages once the videos are embedded on area and project pages.",P2
https://panamarealestateguide.com/es/,/es/,es,other,0,0,,Remove,410 Gone,,GSC 119d: 0 clicks / 0 impr,"Machine-translated duplicate. Verified safe to delete: Semrush Top Pages shows 0 referring domains on every deep URL (93 of 103 ref domains point at the root), so there is no page-level link equity to preserve. ES/DE/PT buying demand is negligible (Semrush PA db: 32 kws / 190 total vol) and these pages actively cannibalise their own English originals. All 405 earned 30 clicks in 119 days combined (~0.25/day). Use 410 rather than 404: unambiguous and de-indexed faster. Retain source files in git.",P1
https://panamarealestateguide.com/es/articles/,/es/articles/,es,articles,0,0,,Remove,410 Gone,,GSC 119d: 0 clicks / 0 impr,"Machine-translated duplicate. Verified safe to delete: Semrush Top Pages shows 0 referring domains on every deep URL (93 of 103 ref domains point at the root), so there is no page-level link equity to preserve. ES/DE/PT buying demand is negligible (Semrush PA db: 32 kws / 190 total vol) and these pages actively cannibalise their own English originals. All 405 earned 30 clicks in 119 days combined (~0.25/day). Use 410 rather than 404: unambiguous and de-indexed faster. Retain source files in git.",P1
https://panamarealestateguide.com/es/news/,/es/news/,es,news,0,0,,Remove,410 Gone,,GSC 119d: 0 clicks / 0 impr,"Machine-translated duplicate. Verified safe to delete: Semrush Top Pages shows 0 referring domains on every deep URL (93 of 103 ref domains point at the root), so there is no page-level link equity to preserve. ES/DE/PT buying demand is negligible (Semrush PA db: 32 kws / 190 total vol) and these pages actively cannibalise their own English originals. All 405 earned 30 clicks in 119 days combined (~0.25/day). Use 410 rather than 404: unambiguous and de-indexed faster. Retain source files in git.",P1
https://panamarealestateguide.com/es/videos/,/es/videos/,es,videos,1,3,57.3,Remove,410 Gone,,GSC 119d: 1 clicks / 3 impr / avg pos 57.3,"Machine-translated duplicate. Verified safe to delete: Semrush Top Pages shows 0 referring domains on every deep URL (93 of 103 ref domains point at the root), so there is no page-level link equity to preserve. ES/DE/PT buying demand is negligible (Semrush PA db: 32 kws / 190 total vol) and these pages actively cannibalise their own English originals. All 405 earned 30 clicks in 119 days combined (~0.25/day). Use 410 rather than 404: unambiguous and de-indexed faster. Retain source files in git.",P1
https://panamarealestateguide.com/pt/,/pt/,pt,other,0,0,,Remove,410 Gone,,GSC 119d: 0 clicks / 0 impr,"Machine-translated duplicate. Verified safe to delete: Semrush Top Pages shows 0 referring domains on every deep URL (93 of 103 ref domains point at the root), so there is no page-level link equity to preserve. ES/DE/PT buying demand is negligible (Semrush PA db: 32 kws / 190 total vol) and these pages actively cannibalise their own English originals. All 405 earned 30 clicks in 119 days combined (~0.25/day). Use 410 rather than 404: unambiguous and de-indexed faster. Retain source files in git.",P1
